Ax (m/s^2),Ay (m/s^2),Az (m/s^2),Gx (deg/sec),Gy (deg/sec),Gz (deg/sec),Mx (mTesla),My (mTesla),Mz (mTesla),Temp (C)
0.0,0.0,9.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.317567900180562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.872197799455321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.317567900180561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.29643209981944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.74180220054468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.807000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.317567900180562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.872197799455321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.317567900180556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.806999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.74180220054468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.807000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.31756790018056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.872197799455321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.317567900180556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.806999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.74180220054468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.807000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.31756790018056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.872197799455321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.3175679001805545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.806999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.74180220054468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.807000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.317567900180562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.872197799455321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.3175679001805545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.806999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.29643209981944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.74180220054468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.296432099819448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.807000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
